PC,Shock Type,Instrument,Base Price,New Price,Base YTM (%),New YTM (%),Δ Yield (bps),Total P&L ($),Duration P&L ($),Convexity P&L ($),Residual P&L ($)
PC2 – Slope,2-sigma,10Y Treasury Note,1000000.0,996560.8624850207,4.08,4.122313942726678,4.231394272667805,-3439.1375149793457,-3446.1512270078074,7.024030075045153,-0.010318046583484453
PC2 – Slope,2-sigma,30Y Treasury Bond,1000000.0,992401.7106880504,4.72,4.767874060115996,4.787406011599604,-7598.289311949629,-7640.496363328423,42.38595978445526,-0.1789084056613106
PC2 – Slope,2-sigma,5Y Receive-Fixed Swap,0.0,-1188.2814988393802,3.65,3.676233856710752,2.6233856710752153,-1188.2814988393802,-1189.1007190613632,0.8196366121105774,-0.0004163901276177384
PC2 – Slope,-1-sigma,2Y Treasury Note,1000000.0,999972.7622434614,3.4799999999999995,3.481421665495653,0.14216654956530905,-27.237756538554095,-27.23822819597617,0.00047166403598447186,-6.613909360562043e-09
PC2 – Slope,-1-sigma,10Y Treasury Note,1000000.0,1001724.832912788,4.08,4.0588430286366615,-2.1156971363339023,1724.832912788028,1723.0756135039037,1.7560075187612882,0.0012917653629129777
PC2 – Slope,-1-sigma,30Y Treasury Bond,1000000.0,1003830.8671394386,4.72,4.696062969942002,-2.393703005799802,3830.867139438633,3820.2481816642116,10.596489946113815,0.022467828307418003
PC2 – Slope,-1-sigma,5Y Receive-Fixed Swap,0.0,594.7553207551828,3.65,3.636883071644623,-1.3116928355376423,594.7553207551828,594.5503595306973,0.20490915302765522,5.207145783181488e-05
PC2 – Slope,-2-sigma,2Y Treasury Note,1000000.0,999945.5254302117,3.4799999999999995,3.482843330991306,0.2843330991306181,-54.47456978831906,-54.47645639195234,0.0018866561439378874,-5.251065691752772e-08
PC2 – Slope,-2-sigma,10Y Treasury Note,1000000.0,1003453.1855979236,4.08,4.037686057273322,-4.231394272667805,3453.1855979235843,3446.1512270078074,7.024030075045153,0.010340840731736911
PC2 – Slope,-2-sigma,30Y Treasury Bond,1000000.0,1007683.0623988016,4.72,4.672125939884004,-4.787406011599604,7683.062398801558,7640.496363328423,42.38595978445526,0.18007568867917456
PC2 – Slope,-2-sigma,5Y Receive-Fixed Swap,0.0,1189.920772357611,3.65,3.623766143289248,-2.6233856710752153,1189.920772357611,1189.1007190613632,0.8196366121105774,0.00041668413722906195
PC2 – Slope,Historical +Extreme,2Y Treasury Note,1000000.0,1000324.4208635074,3.4799999999999995,3.463070747337672,-1.6929252662328116,324.42086350743193,324.3539697726136,0.06688265276630885,1.1082052027419631e-05
PC2 – Slope,Historical +Extreme,10Y Treasury Note,1000000.0,979728.3821910964,4.08,4.331938107012377,25.19381070123762,-20271.617808903567,-20518.45705371559,249.00444420620295,-2.165199394181741
PC2 – Slope,Historical +Extreme,30Y Treasury Bond,1000000.0,955973.7892104466,4.72,5.005043163160883,28.504316316088282,-44026.210789553355,-45491.67641611138,1502.597831374875,-37.132204816848116
PC2 – Slope,Historical +Extreme,5Y Receive-Fixed Swap,0.0,-7050.962033359101,3.65,3.806196935890209,15.619693589020919,-7050.962033359101,-7079.930748653701,29.056418732424543,-0.0877034378246826
PC2 – Slope,Historical -Extreme,2Y Treasury Note,1000000.0,999621.3461061855,3.4799999999999995,3.4997681286340754,1.9768128634075484,-378.6538938145386,-378.7450707559051,0.09119458128030639,-1.7639913822142805e-05
PC2 – Slope,Historical -Extreme,10Y Treasury Note,1000000.0,1024302.2262688198,4.08,3.785814249064381,-29.41857509356195,24302.226268819766,23959.208743642164,339.51787327664357,3.499651900958213
